Name,About,URL,Publication Type,Sector,Purpose,,TAGS,Digital Harms Addressed,TechFocus,,Sponsoring Org,,Author(s)/Editors,Audience,,Working group,License,Volume Frequency,Version or Edition,Date,,Status,,,,Jurisdiction,,,,Github Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Oxygen of Amplification,The Oxygen of Amplification draws on in-depth interviews by scholar Whitney Phillips to showcase how news media was hijacked from 2016-2018 to amplify the messages of hate groups. Offering...,https://datasociety.net/output/oxygen-of-amplification/,,,,,Media Manipulation,,,,Data & Society Research Institute,,Whitney Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching for Alternative Facts,Searching for Alternative Facts is an ethnographic account drawn directly from Dr. Francesca Tripodi’s research within upper-middle class conservative Christian* communities in Virginia in 2017. Dr. Tripodi uses Christian...,https://datasociety.net/output/searching-for-alternative-facts/,,,,,Media Manipulation,,,,Data & Society Research Institute,,Francesca Tripodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algorithmic Accountability: A Primer,Algorithmic Accountability examines the process of assigning responsibility for harm when algorithmic decision-making results in discriminatory and inequitable outcomes. The primer–originally prepared for the Progressive Congressional Caucus’ Tech Algorithm...,https://datasociety.net/output/algorithmic-accountability-a-primer/,,,,,Media Manipulation,,,,Data & Society Research Institute,,Robyn Caplan: Joan Donovan: Lauren Hanson: Jeanna Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Promises, Challenges, and Futures of Media Literacy","This report responds to the “fake news” problem by evaluating the successes and failures of recent media literacy efforts while pointing towards next steps for educators, legislators, technologists, and...",https://datasociety.net/output/the-promises-challenges-and-futures-of-media-literacy/,,,,,Media Manipulation,,,,Data & Society Research Institute,,Monica Bulger: Patrick Davison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Reckoning,New Data & Society report clarifies current uses of “fake news” and analyzes four specific strategies for intervention.,https://datasociety.net/output/dead-reckoning/,,,,,Media Manipulation,,,,Data & Society Research Institute,,Robyn Caplan: Lauren Hanson: Joan Donovan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case Studies,"Algorithms and Publics began with a set of case studies that explored how algorithmic media is shaping the public sphere across a variety of dimensions, including the changing role of the journalism industry, the use of algorithms for censorship or international compliance, how algorithms are functioning within foreign policy aims, digital gerrymandering, the spread of misinformation, and more.",https://datasociety.net/pubs/ap/CaseStudies_PublicSphere_2016.pdf,case studies,,,,Algorithms and Publics,,,,Data & Society Research Institute,,,,,,,,,,,,,,,,,,,,https://datasociety.net/algorithms-and-publics/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Questions and Assumptions,"A growing body of research from media theorists and practitioners examines the ways in which algorithms and data-driven model sare increasingly affecting what news and information is produced for, and consumed by, the public. As the relationship between media producers and consumers changes with the expansion of new media technologies, a number of scholars, journalists, and public advocates are asking: Who controls the public sphere in an era of algorithms?",https://datasociety.net/pubs/ap/QuestionsAssumptions_background-primer_2016.pdf,paper,,,,Algorithms and Publics: Who Controls the Public Sphere in an Era of Algorithms?: Primer,,,,Data & Society Research Institute,,,,,,,,,,,,,,,,,,,,https://datasociety.net/algorithms-and-publics/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mediation, Automation, Power","Can Facebook determine the outcome of the 2016 election? Evidence suggeststhatitcouldplayalargerrolethan we may expect or would ever know. Since2008,Facebookresearchershavebeenexperimentingwithprovidinguserswithwaystoinformtheirfriendstheywerevoting,andhavestudiedhowmakingthatinformationavailablemayboostturnoutinU.S.elections.2Whattheyfoundwasthat,throughmanipulatingtheiralgorithmsandaddingfeatureslikean“IVoted”button,userswhowereexposedtothesemessageswere0.39morelikelytovotethanthoseinthecontrolgroup,effectivelymobilizingapotentialtotalof400,000voterstocasttheirballotinthe2010midtermelections.3Fromoneperspective,Facebook’sabilityto‘nudge’apercentageofuserstowardsvotingseemslikepositivecivicengagement;however,questionofwhichusersreceivethatnudge–andthuswhichcandidatesbenefitfromthatcrucialbump–raisesimportantquestionsregardingthepotential power and impact that algorithms are having on civic life both domestically and a broad.",https://datasociety.net/pubs/ap/MediationAutomationPower_2016.pdf,paper,,,,Algorithms and Publics: Who Controls the Public Sphere in an Era of Algorithms?: Primer,,,,Data & Society Research Institute,,,,,,,,,,,,,,,,,,,,https://datasociety.net/algorithms-and-publics/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content or Context Moderation?,,https://datasociety.net/output/content-or-context-moderation/,report,,,,Algorithms and Publics,,,,Data & Society Research Institute,,Robyn Caplan,,,,,,,,,,,,,,,,,,https://datasociety.net/algorithms-and-publics/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Media Companies Insist They’re Not Media Companies and Why It Matters for Communications Policy,,https://datasociety.net/output/when-media-companies-insist-theyre-not-media-companies-and-why-it-matters-for-communications-policy/,paper,,,,Algorithms and Publics,,,,Data & Society Research Institute,,Philip M. Napoli: Robyn Caplan,,,,,,,,,,,,,,,,,,https://datasociety.net/algorithms-and-publics/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mediation, Automation, Power",,https://datasociety.net/output/mediation-automation-power/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,Robyn Caplan: danah boyd,,,,,,,,,,,,,,,,,,https://datasociety.net/pubs/ap/MediationAutomationPower_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking the Attention Economy,,https://datasociety.net/output/hacking-the-attention-economy/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,danah boyd,,,,,,,,,,,,,,,,,,https://datasociety.net/algorithms-and-publics/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do you deal with a problem like “fake news?”,,https://datasociety.net/output/how-do-you-deal-with-a-problem-like-fake-news/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,Robyn Caplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why America is Self-Segregating,,https://datasociety.net/output/why-america-is-self-segregating/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,danah boyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are There Limits to Online Free Speech?,,https://datasociety.net/output/are-there-limits-to-online-free-speech/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,Alice Marwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did Media Literacy Backfire?,,https://datasociety.net/output/did-media-literacy-backfire/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,danah boyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What’s Propaganda Got To Do With It?,,https://datasociety.net/output/whats-propaganda-got-to-do-with-it/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,Caroline Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Must Acknowledge and Change Its Financial Incentives,,https://datasociety.net/output/facebook-must-acknowledge-and-change-its-financial-incentives/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Questions about Google autocompl,,https://datasociety.net/output/questions-about-google-autocompl/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,Robyn Caplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Like it or Not, Facebook Is Now a Media Company",,https://datasociety.net/output/like-it-or-not-facebook-is-now-a-media-company/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,Robyn Caplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Must Be Accountable to the Public,,https://datasociety.net/output/facebook-must-be-accountable-to-the-public/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,danah boyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No More Magic Algorithms: Cultural Policy in an Era of Discoverability,,https://datasociety.net/output/no-more-magic-algorithms-cultural-policy-in-an-era-of-discoverability/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,Fenwick McKelvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Trending: It’s made of people!! (but we should have already known that),,https://datasociety.net/output/facebook-trending-its-made-of-people-but-we-should-have-already-known-that/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,Tarleton Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How Politicians Should and Shouldn’t Use Twitter Bots,D&S Researcher Tim Hwang and Samuel Woolley consider the larger trend toward automated politics and the likely future sophistication of automated politics and potential impacts on the public sphere...,https://datasociety.net/output/how-politicians-should-and-shouldnt-use-twitter-bots/,,,,,Algorithms and Publics: Intelligence and Autonomy,,,,Data & Society Research Institute,,Tim Hwang: Samuel Woolley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ben Franklin, the Post Office and the Digital Public Sphere",,https://datasociety.net/output/ben-franklin-the-post-office-and-the-digital-public-sphere/,,,,,Algorithms and Publics,,,,Data & Society Research Institute,,Ethan Zuckerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI in Context, “AI in Context” shows how automated and AI technologies are reconfiguring work in small family-owned farms and grocery stores.  ,https://datasociety.net/output/ai-in-context/,Report,,,,AI on the Ground,,,,Data & Society Research Institute,,,,,,,,,,,,,,,,,,,,https://datasociety.net/research/ai-on-the-ground/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairness and Abstraction in Sociotechnical Systems,"In this paper, authors identify the challenges to integrating fairness into machine learning based systems and suggest next steps.

    “In this paper, however, we contend that these concepts render technical interventions ineffective, inaccurate, and sometimes dangerously misguided when they enter the societal context that surrounds decision-making systems. We outline this mismatch with five “traps” that fair-ML work can fall into even as it attempts to be more context-aware in comparison to traditional data science. We draw on studies of sociotechnical systems in Science and Technology Studies to explain why such traps occur and how to avoid them. Finally, we suggest ways in which technical designers can mitigate the traps through a refocusing of design in terms of process rather than solutions, and by drawing abstraction boundaries to include social actors rather than purely technical ones.”",https://datasociety.net/output/fairness-and-abstraction-in-sociotechnical-systems/,,,,,"AI on the Ground: ACM Conference on Fairness, Accountability, and Transparency",,,,Data & Society Research Institute,,Andrew D. Selbst: danah boyd: Sorelle Friedler: Suresh Venkatasubramanian: Janet Vertesi,,,,,,,,,,,,,,,,,,https://datasociety.net/research/ai-on-the-ground/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governing Artificial Intelligence,,https://datasociety.net/output/governing-artificial-intelligence/,,,,,AI on the Ground,,,,Data & Society Research Institute,,Mark Latonero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An AI Pattern Language,,https://datasociety.net/output/ai-pattern-language/,,,,,AI on the Ground,,,,Data & Society Research Institute,,Madeleine Clare Elish: Tim Hwang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moral Crumple Zones: Cautionary Tales In Human-Robot Interaction',,https://datasociety.net/output/moral-crumple-zones-cautionary-tales-in-human-robot-interaction/,,,,,AI on the Ground,,,,Data & Society Research Institute,,Madeleine Clare Elish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Humans Attack,"As AI becomes integrated into our everyday lives, how might it be gamed by humans, and how should we reconceptualize our notions of security? “It is imperative to leverage...",https://datasociety.net/output/when-humans-attack/,,,,,AI on the Ground,,,,Data & Society Research Institute,,Madeleine Clare Elish: Elizabeth Watkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accountable Algorithmic Futures,"The Algorithmic Accountability Act is a great first step, and regulators who are tasked with implementing it should take sociotechnical frames into account. “A sociological lens can help illuminate...",https://datasociety.net/output/accountable-algorithmic-futures/,,,,,AI on the Ground,,,,Data & Society Research Institute,,Andrew Selbst: Madeleine Clare Elish: Mark Latonero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don’t Believe Every AI You See,Data & Society Founder and President danah boyd and Researcher Madeleine Clare Elish lay the groundwork for questioning AI and ethics. “Without comprehensively accounting for the strengths and weaknesses...,https://datasociety.net/output/dont-believe-every-ai-you-see/,,,,,AI on the Ground,,,,Data & Society Research Institute,,Madeleine Clare Elish: danah boyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial Intelligence & Human Rights: A Workshop at Data & Society',"On April 26-27, Data & Society hosted a multidisciplinary workshop on AI and Human Rights. In this Points piece, Data + Human Rights Research Lead Mark Latonero and Research...",https://datasociety.net/output/artificia-intelligence-human-rights-a-workshop-at-data-society/,output,,,,AI on the Ground,,,,Data & Society Research Institute,,Mark Latonero: Melanie Penagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don’t Call AI “Magic”,"Artificial intelligence is increasingly being used across multiple sectors and people often refer to its function as “magic.” In this blogpost, D&S researcher Madeleine Clare Elish points out how...",https://datasociety.net/output/dont-call-ai-magic/,,,,,AI on the Ground,,,,Data & Society Research Institute,,Madeleine Clare Elish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The future of designing autonomous systems will involve ethnographers,D&S researcher Madeleine Clare Elish asserts ethnography and anthropology’s role in studying automation and intelligent systems. Cultural perceptions of the role of humans in automated and robotic systems need...,https://datasociety.net/output/the-future-of-designing-autonomous-systems-will-involve-ethnographers/,,,,,AI on the Ground,,,,Data & Society Research Institute,,Madeleine Clare Elish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governing Artificial Intelligence,"In Governing Artificial Intelligence: Upholding Human Rights & Dignity, Mark Latonero shows how human rights can serve as a “North Star” to guide the development and governance of artificial...",https://datasociety.net/output/governing-artificial-intelligence/,,,,,AI on the Ground,,,,Data & Society Research Institute,,Mark Latonero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An AI Pattern Language,"D&S researchers Madeleine Clare Elish and Tim Hwang discuss the social challenges of AI in a new collection of essays, An AI Pattern Language.",https://datasociety.net/output/ai-pattern-language/,,,,,Intelligence and Autonomy,,,,Data & Society Research Institute,,Madeleine Clare Elish: Tim Hwang,,,,,,,,,,,,,,,,,,https://datasociety.net/pubs/ia/AI_Pattern_Language.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discriminating Tastes: Customer Ratings as Vehicles for Bias,D&S researchers Alex Rosenblat and Tim Hwang and D&S affiliates Solon Barocas and Karen Levy examine how bias may creep into evaluations of Uber drivers through consumer-sourced rating systems:...,https://datasociety.net/output/discriminating-tastes-customer-ratings-as-vehicles-for-bias/,,,,,Intelligence and Autonomy,,,,Data & Society Research Institute,,Alex Rosenblat: Karen Levy: Solon Barocas: Tim Hwang: Karen Levey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional Diversity in Autonomy and Work: A Case Study from Uber and Lyft Drivers',D&S researchers Alex Rosenblat and Tim Hwang explore “the significant role of worker motivations and regional political environments on the social and economic outcomes of automation” in this new...,https://datasociety.net/output/regional-diversity-in-autonomy-and-work-a-case-study-from-uber-and-lyft-drivers/,,,,,Intelligence and Autonomy,,,,Data & Society Research Institute,,Alex Rosenblat: Tim Hwang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wisdom of the Captured,"D&S researchers Alex Rosenblat and Tim Hwang analyze how widely captured data of technologies, which enable these technologies to make intelligent decisions, may negatively impact users. More broadly, how...",https://datasociety.net/output/the-wisdom-of-the-captured/,,,,,Intelligence and Autonomy,,,,Data & Society Research Institute,,Alex Rosenblat: Tim Hwang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moral Crumple Zones: Cautionary Tales In Human-Robot Interaction',"In this Working Paper from We Robot 2016, D&S Researcher Madeleine Elish employs the concept of “moral crumple zones” within human-machine systems as a lens through which to think about...",https://datasociety.net/output/moral-crumple-zones-cautionary-tales-in-human-robot-interaction/,,,,,Intelligence and Autonomy,,,,Data & Society Research Institute,,Madeleine Clare Elish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
